Publisher,IATI Organisation Identifier,Organization Type,HQ Country or Region,Datasets Count,Datasets Link
Australia - Department of  Foreign Affairs and Trade,AU-5,Government,Australia,173,https://iatiregistry.org/publisher/ausgov
The World Bank,44000,Multilateral,(No country assigned),145,https://iatiregistry.org/publisher/worldbank
The William and Flora Hewlett Foundation,US-EIN-941655673,Foundation,United States,2,https://iatiregistry.org/publisher/hewlett-foundation
United Nations Office for Project Services (UNOPS),41AAA,Multilateral,(No country assigned),157,https://iatiregistry.org/publisher/unops
Frontline AIDS,GB-CHC-1038860,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/f-aids
European Commission - International Partnerships,XI-IATI-EC_INTPA,Other Public Sector,(No country assigned),195,https://iatiregistry.org/publisher/ec-intpa
"Sweden, through Swedish International Development Cooperation Agency (Sida)",SE-0,Government,Sweden,181,https://iatiregistry.org/publisher/sida
Engineers Without Borders Canada,CA-CRA-89980-1815-RR0001,International NGO,Canada,2,https://iatiregistry.org/publisher/ewb_canada
United Nations Development Programme (UNDP),XM-DAC-41114,Multilateral,(No country assigned),153,https://iatiregistry.org/publisher/undp
Indigo Trust,GB-CHC-1075920,Foundation,United Kingdom,2,https://iatiregistry.org/publisher/indtrust
Oxfam GB,GB-CHC-202918,International NGO,United Kingdom,77,https://iatiregistry.org/publisher/oxfamgb
Finland - Ministry for Foreign Affairs,FI-3,Government,Finland,156,https://iatiregistry.org/publisher/finland_mfa
Self Help Africa,IE-CHY-6663,International NGO,Ireland,2,https://iatiregistry.org/publisher/self-help-africa
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",47045,Multilateral,Switzerland,143,https://iatiregistry.org/publisher/theglobalfund
Asian Development Bank,XM-DAC-46004,Multilateral,(No country assigned),41,https://iatiregistry.org/publisher/asdb
Publish What You Fund,GB-COH-07676886,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/pwyf
Norwegian Refugee Council,NO-BRC-977538319,International NGO,Norway,8,https://iatiregistry.org/publisher/nrc
SPARK,NL-KVK-41213450,International NGO,Netherlands,3,https://iatiregistry.org/publisher/spark
"Denmark - Ministry of Foreign Affairs, Danida",XM-DAC-3-1,Government,Denmark,8,https://iatiregistry.org/publisher/danida
Catholic Agency For Overseas Development (CAFOD),GB-CHC-285776,International NGO,United Kingdom,67,https://iatiregistry.org/publisher/cafod
"Gavi, the vaccine alliance",47122,Public Private Partnership,Switzerland,5,https://iatiregistry.org/publisher/gavi
GlobalGiving.org,US-EIN-300108263,International NGO,United States,2,https://iatiregistry.org/publisher/globalgiving
Camfed International,GB-CHC-1029161,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/camfed
All We Can (formerly Methodist Relief and Development Fund),GB-CHC-291691,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/allwecan
Article19,GB-CHC-327421,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/art19
ChildHope UK,GB-CHC-328434,International NGO,United Kingdom,6,https://iatiregistry.org/publisher/childhopeuk
Concern Worldwide UK,GB-CHC-1092236,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/concernuk
LEAD International,GB-COH-4075590,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/lead_international
Transparency International Secretariat,XM-DAC-21033,International NGO,Germany,1,https://iatiregistry.org/publisher/transparency-international
AfriKids,GB-CHC-1141028,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/afrikids
EveryChild,GB-CHC-1089879,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/evc
MapAction,GB-CHC-1126727,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/mapaction
The International Children's Trust,GB-CHC-254781,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/theict
Trocaire (Northern Ireland),GB-COH-NI21482,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/troc
Interact Worldwide,GB-CHC-1001698,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/iww_publish
Health Poverty Action,GB-CHC-1837621,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/hpa
Africa Educational Trust,GB-CHC-313139,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/aet
Living Earth Foundation,GB-CHC-800672,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/livingearth12
Fauna & Flora International,GB-COH-0277068,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/ffi_publisher
Children in Crisis,GB-CHC-1020488,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/cic
ICA:UK,GB-CHC-1090745,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/icauk
Build Africa,GB-CHC-298316,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/buildafrica
Tearfund,GB-CHC-265464,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/tearfund
War on Want,GB-CHC-208724,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/waronwant
InterClimate Network,GB-COH-06587734,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/icn
World Association for Christian Communication (UK),GB-COH-2082273,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/wacc-uk
African Initiatives,GB-CHC-1064413,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ai_1064413
Opportunity International UK,GB-COH-05322719,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/opportunity-international-uk
Mercy Corps Europe,GB-SC-SC030289,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/mce
Aga Khan Foundation (United Kingdom),GB-COH-1100897,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/akfuk73
Samaritan's Purse UK,GB-CHC-1001349,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/spuk
Karuna Trust,GB-CHC-327461,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/karuna
Agency for Cooperation and Research in Development (ACORD),GB-CHC-283302,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/acord
Bond,GB-CHC-1068839,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/bond
Twin,GB-CHC-291824,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/twin-iati
Power International,GB-CHC-1059996,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/power
Canon Collins Trust,GB-CHC-1102028,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/canoncollinstrust
Water & Sanitation for the Urban Poor (WSUP),GB-COH-5419428,Public Private Partnership,United Kingdom,2,https://iatiregistry.org/publisher/wsup
CDC Group plc,GB-COH-03877777,Other Public Sector,United Kingdom,2,https://iatiregistry.org/publisher/cdc
Womankind Worldwide,GB-CHC-328206,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/womankindworld
"Friends of the Earth England, Wales and Northern Ireland",GB-CHC-281681,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/foe_ewni
United Purpose,GB-CHC-272465,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/cu
PONT,GB-CHC-1125948,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/pont
Rainforest Foundation UK,GB-CHC-1138287,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/rfuk
UN-Habitat,41120,Multilateral,(No country assigned),1,https://iatiregistry.org/publisher/unhabitat
Penal Reform International,GB-COH-04154075,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/pri
WaterAid,GB-CHC-288701,International NGO,United Kingdom,28,https://iatiregistry.org/publisher/wateraid
Jeevika Trust,GB-CHC-291167,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/jeevika_trust
Voluntary Service Overseas (VSO),GB-CHC-313757,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/vso
Plan International UK,GB-COH-1364201,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/plan_uk
Population Service International,21032,International NGO,United States,15,https://iatiregistry.org/publisher/psi
Save the Children UK,GB-COH-213890,International NGO,United Kingdom,4,https://iatiregistry.org/publisher/scuk
Hivos,NL-KVK-41198677,International NGO,Netherlands,3,https://iatiregistry.org/publisher/stichting_hivos
Southern African Catholic Bishops' Conference Aids Office,ZA-NPO-061-870,Regional NGO,South Africa,1,https://iatiregistry.org/publisher/sacbc
The Global Alliance for Improved Nutrition,CH-FDJP-CHE-110347351,International NGO,Switzerland,2,https://iatiregistry.org/publisher/gain
StreetInvest,GB-CHC-1127206,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/si
Conciliation Resources,GB-CHC-1055436,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/cr
BRAC UK,GB-CHC-1115482,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/bracuk
Gender Links,ZA-CIPC-2001/005850/08,Regional NGO,South Africa,4,https://iatiregistry.org/publisher/gl
Leonard Cheshire Disability,GB-CHC-218186,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/lcd_admin
Developments In Literacy Trust UK,GB-CHC-1122924,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/diltuk
CARE International UK,GB-CHC-292506,International NGO,United Kingdom,9,https://iatiregistry.org/publisher/ciuk
Islamic Relief Worldwide,GB-CHC-328158,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/irw
International Planned Parenthood Federation,GB-CHC-229476,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ippf
Charity Projects Ltd (Comic Relief),GB-CHC-326568,Foundation,United Kingdom,3,https://iatiregistry.org/publisher/cprojects
United Nations Capital Development Fund,XM-DAC-41111,Multilateral,United States,1,https://iatiregistry.org/publisher/uncdf
BRAC International,NL-CCI-20081098,International NGO,Netherlands,1,https://iatiregistry.org/publisher/bracintl
Relief International UK,GB-CHC-1098106,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ri-uk
TB Alert,GB-CHC-1071886,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/tbalert
UN Women,XM-DAC-41146,Multilateral,(No country assigned),2,https://iatiregistry.org/publisher/unw
Twaweza,TZ-BRE-63966,Regional NGO,"Tanzania, United Republic of",2,https://iatiregistry.org/publisher/twaweza
MicroLoan Foundation,GB-CHC-1104287,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/mlf
Child-to-Child,GB-CHC-1152010,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ctc
Christian Aid,GB-CHC-1105851,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/caid
Grow Movement,GB-CHC-1139083,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/growmovement_admin
Motivation,GB-CHC-1079358,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/motivation
Disability Rights Fund,US-EIN-27-5026293,International NGO,United States,2,https://iatiregistry.org/publisher/drf
United States,US-USAGOV,Government,United States,282,https://iatiregistry.org/publisher/unitedstates
WWF-UK,GB-CHC-1081247,International NGO,United Kingdom,20,https://iatiregistry.org/publisher/wwf-uk
MSI Reproductive Choices,GB-COH-1102208,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/msi
Sightsavers,GB-CHC-207544,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/ss-org
Triple Line,GB-COH-03788027,Private Sector,United Kingdom,3,https://iatiregistry.org/publisher/tripleline_crownagents
ActionAid International,NL-KVK-27264198,International NGO,Netherlands,1,https://iatiregistry.org/publisher/aai
Inter-American Development Bank,XI-IATI-IADB,Multilateral,(No country assigned),28,https://iatiregistry.org/publisher/iadb
Zimbabwe Educational Trust,GB-CHC-327519,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/zet
Practical Action,GB-COH-871954,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/pa
Restless Development,GB-CHC-1127488,International NGO,United Kingdom,11,https://iatiregistry.org/publisher/restless
International Alert,GB-COH-2153193,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/international-alert
Germany - Ministry for Economic Cooperation and Development,DE-1,Government,Germany,143,https://iatiregistry.org/publisher/bmz
Malaria Consortium,GB-CHC-1099776,International NGO,United Kingdom,134,https://iatiregistry.org/publisher/malariaconsortium
People In Aid,GB-CHC-1078768,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/peopleinaid
Climate Investment Funds,47135,Multilateral,"Bilateral, unspecified",58,https://iatiregistry.org/publisher/cif
MAMTA - Health Institute for Mother and Child,IN-,National NGO,India,2,https://iatiregistry.org/publisher/mamta_himc
Centre for Indian Knowledge Systems,ciks,"Academic, Training and Research",India,2,https://iatiregistry.org/publisher/ciks
Cord,GB-CHC-1070684,Regional NGO,United Kingdom,2,https://iatiregistry.org/publisher/cord
UK - Home Office,GB-GOV-6,Government,United Kingdom,2,https://iatiregistry.org/publisher/homeoffice
Pact,US-EIN-13-2702768,International NGO,United States,4,https://iatiregistry.org/publisher/pact
War Child UK,GB-CHC-1071659,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/wcuk
GOAL,GB-CHC-1107403,International NGO,Ireland,2,https://iatiregistry.org/publisher/goal
Ethical Trading Initiative,GB-COH-3578127,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/eti
Development Aid from People to People (DAPP) Malawi,GPAF-IMP-031,National NGO,Malawi,2,https://iatiregistry.org/publisher/dapp
United Nations Children's Fund (UNICEF),XM-DAC-41122,Multilateral,(No country assigned),138,https://iatiregistry.org/publisher/unicef
CDA Collaborative Learning Projects,US-IRS-562339052,International NGO,United States,2,https://iatiregistry.org/publisher/cda
"Medical Research Centre (MRC), Sierra Leone",SL-NRA-1001562-8,National NGO,Sierra Leone,1,https://iatiregistry.org/publisher/mrc-sierra-leone
Scotland's International Development Alliance,GB-SC-SC035314,Regional NGO,United Kingdom,2,https://iatiregistry.org/publisher/sinda
United Nations World Food Programme (WFP),XM-DAC-41140,Multilateral,Italy,8,https://iatiregistry.org/publisher/wfp
ACODEV,BE-BCE_KBO-0462279234,National NGO,Belgium,2,https://iatiregistry.org/publisher/acodev
Dóchas - Irish Association of Non Governmental Development Organisations,IE-CHY-6410,National NGO,Ireland,1,https://iatiregistry.org/publisher/dochas
Women for Women International (UK),GB-CHC-1115109,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/wfwiuk
ActionAid UK,GB-CHC-274467,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/aauk
Association for Reproductive and Family Health,NG-CAC-5938,National NGO,Nigeria,2,https://iatiregistry.org/publisher/arfh
African Development Bank,XM-DAC-46002,Multilateral,(No country assigned),56,https://iatiregistry.org/publisher/afdb
Akvo Foundation,NL-KVK-27327087,International NGO,Netherlands,2,https://iatiregistry.org/publisher/akvo
Saferworld,GB-CHC-1043843,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/saferworld
United Nations Population Fund,41119,Multilateral,"Bilateral, unspecified",254,https://iatiregistry.org/publisher/unfpa
Freedom Forum,NP-DAO-27-127/062/063,National NGO,Nepal,1,https://iatiregistry.org/publisher/ff
