Section,Item,Description,Type,Codelist,XML,Occur,Rules
iati-activities,,Top-level list of one or more IATI activity records.,,,iati-activities,,
,version,A number indicating the IATI specification version in use. This is mandatory and must be a valid version.,xsd:string,Version,iati-activities/@version,1..1,
,generated-datetime,"A date/time stamp for when this file was generated. This is not necessarily the last-updated date for the individual activity records in it. Use of this attribute is highly recommended, to allow recipients to know when a file has been updated.",xsd:dateTime,,iati-activities/@generated-datetime,0..1,
,linked-data-default,"If a publisher chooses to publish linked data about their IATI activities then allowing them to declare where this data is published would support discovery of it, and any additional information they may choose to publish as Linked Data alongside it. This attribute is a URI path upon which an activity identifier can be appended to get a differentiable URI for any activity contained within a file. Where a publisher declares using one of these properties that authoritative linked data is accessible for an activity then consuming applications that are generating Linked Data from an IATI XML file should assert an owl:sameAs relationship to the relevant URI.",xsd:anyURI,,iati-activities/@linked-data-default,0..1,
iati-activity,,Top-level element for a single IATI activity report.,,,iati-activities/iati-activity,1..*,
,last-updated-datetime,The last date/time that the data for this specific activity was updated. This date must change whenever the value of any field changes.,xsd:dateTime,,iati-activities/iati-activity/@last-updated-datetime,0..1,11.1.1: The last updated datetime of the activity must not be in the future.
,xml:lang,A code specifying the default language of text in this activity. It is recommended that wherever possible only codes from ISO 639-1 are used. If this is not declared then the xml:lang attribute MUST be specified for each narrative element.,,Language,iati-activities/iati-activity/@xml:lang,0..1,4.1.1: The activity should specify a default language OR the language must be specified for each narrative element.
,default-currency,Default ISO 4217 alphabetic currency code for all financial values in this activity report. If this is not declared then the currency attribute MUST be specified for all monetary values.,xsd:string,Currency,iati-activities/iati-activity/@default-currency,0..1,7.8.1: The activity should specify a default currency OR the currency must be specified for each monetary value.
,humanitarian,A process flag to indicate that this activity relates entirely or partially to humanitarian aid.,xsd:boolean,,iati-activities/iati-activity/@humanitarian,0..1,
,hierarchy,"The hierarchical level within the reporting organisation’s subdivision of its units of aid. (eg activity = 1; sub-activity = 2; sub-sub-activity = 3). If hierarchy is not reported then 1 is assumed. If multiple levels are reported then, to avoid double counting, financial transactions should only be reported at the lowest hierarchical level.",xsd:int,,iati-activities/iati-activity/@hierarchy,0..1,
,linked-data-uri,A Linked Data URI for a given activity (overrides iati-activities/@linked-data-default if set),xsd:anyURI,,iati-activities/iati-activity/@linked-data-uri,0..1,
,budget-not-provided,A code indicating the reason why this activity does not contain any iati-activity/budget elements. The attribute MUST only be used when no budget elements are present.,xsd:string,Budget Not Provided,iati-activities/iati-activity/@budget-not-provided,0..1,
iati-identifier,,"A globally unique identifier for the activity. This MUST be prefixed with EITHER the current IATI organisation identifier for the reporting organisation (reporting-org/@ref) OR a previous identifier reported in other-identifier, and suffixed with the organisation’s own activity identifier. The prefix and the suffix should be separated by a hyphen “-“. Once an activity has been reported to IATI its identifier MUST NOT be changed in subsequent updates.",,,iati-activities/iati-activity/iati-identifier,1..1,"1.1.3: The activity identifier must be different to the organisation identifier of the reporting organisation.
1.1.21: The activity identifier should begin with your IATI organisation identifier (either the current IATI Organisation identifier for the reporting organisation or a previous version included in other-identifier element) followed by a unique string for the activity separated by a hyphen
1.3.1: The iati-identifier should not start or end with spaces or newlines.
1.3.13: The iati-identifier must not contain any of the symbols /, &, | or ?."
,,,xsd:string,,iati-activities/iati-activity/iati-identifier/text(),,
reporting-org,,"The organisation issuing the report. May be a primary source (reporting on its own activity as donor, implementing agency, etc) or a secondary source (reporting on the activities of another organisation). Specifying the @ref attribute is mandatory. May contain the organisation name as content. All activities in an activity xml file must contain the same @ref AND this @ref must be the same as the iati-identifier recorded in the registry publisher record of the account under which this file is published.",,,iati-activities/iati-activity/reporting-org,1..1,
,ref,Machine-readable identification string for the organisation issuing the report. Must be in the format {RegistrationAgency}-{RegistrationNumber} where {RegistrationAgency} is a valid code in the Organisation Registration Agency code list and {RegistrationNumber} is a valid identifier issued by the {RegistrationAgency}.,xsd:string,,iati-activities/iati-activity/reporting-org/@ref,1..1,"1.1.3: The activity identifier must be different to the organisation identifier of the reporting organisation.
1.14.1: The reporting-org identifier should not start or end with spaces or newlines.
1.14.8: The reporting organisation id must start with an approved agency code.
1.14.13: The reporting-org identifier must not contain any of the symbols /, &, | or ?."
,type,The type of organisation issuing the report. See IATI codelist for values.,xsd:string,Organisation Type,iati-activities/iati-activity/reporting-org/@type,1..1,
,secondary-reporter,A flag indicating that the reporting organisation of this activity is acting as a secondary reporter. A secondary reporter is one that reproduces data on the activities of an organisation for which it is not directly responsible. This does not include a publisher officially assigned as a proxy to report on behalf of another.,xsd:boolean,,iati-activities/iati-activity/reporting-org/@secondary-reporter,0..1,
,narrative,The name of the organisation. May be repeated for different languages.,,,iati-activities/iati-activity/reporting-org/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/reporting-org/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/reporting-org/narrative/@xml:lang,0..1,
title,,"A short, human-readable title that contains a meaningful summary of the activity. May be repeated for different languages.",,,iati-activities/iati-activity/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/title/narrative/@xml:lang,0..1,
description,,"A longer, human-readable description containing a meaningful description of the activity. May be repeated for different languages.",,,iati-activities/iati-activity/description,1..*,
,type,The type of description being provided. This is not required if only one general description of the activity is reported.,xsd:string,Description Type,iati-activities/iati-activity/description/@type,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/description/narrative/@xml:lang,0..1,
participating-org,,"An organisation involved with the activity. May be a donor, fund, agency, etc. Specifying the @ref identifier is strongly recommended. May contain the organisation name as narrative. If the reporting organisation plays a role in the activity it should be repeated here. One organisation may play more than one role (eg, funding and implementing): in such a case each role should be reported and the name of the organisation repeated.",,,iati-activities/iati-activity/participating-org,1..*,
