Type,Proposed IATIPlus Fields,Labels,Properties
Organization,,,
,IatiOrganisations,IatiOrganisations,
,IatiOrganisations_Version,,IatiOrganisations_Version
,IatiOrganisations_GeneratedDatetime,,IatiOrganisations_GeneratedDatetime
,IatiOrganisation,IatiOrganisation,
,IatiOrganisation_LastUpdatedDatetime,,IatiOrganisation_LastUpdatedDatetime
,IatiOrganisation_Lang,,IatiOrganisation_Lang
,IatiOrganisation_DefaultCurrency,,IatiOrganisation_DefaultCurrency
,OrganisationIdentifier,OrganisationIdentifier,
,Name,Name,
,NameNarrative,NameNarrative,
,NameNarrative_Text,,NameNarrative_Text
,NameNarrative_Lang,,NameNarrative_Lang
,ReportingOrg,ReportingOrg,
,ReportingOrg_Ref,,ReportingOrg_Ref
,ReportingOrg_Type,,ReportingOrg_Type
,ReportingOrg_SecondaryReporter,,ReportingOrg_SecondaryReporter
,ReportingOrgNarrative,ReportingOrgNarrative,
,ReportingOrgNarrative_Text,,ReportingOrgNarrative_Text
,ReportingOrgNarrative_Lang,,ReportingOrgNarrative_Lang
,TotalBudget,TotalBudget,
,TotalBudget_Status,,TotalBudget_Status
,TotalBudgetPeriodStart,TotalBudgetPeriodStart,
,TotalBudgetPeriodStart_IsoDate,,TotalBudgetPeriodStart_IsoDate
,TotalBudgetPeriodEnd,TotalBudgetPeriodEnd,
,TotalBudgetPeriodEnd_IsoDate,,TotalBudgetPeriodEnd_IsoDate
,TotalBudgetValue,TotalBudgetValue,
,TotalBudgetValue_Currency,,TotalBudgetValue_Currency
,TotalBudgetValue_ValueDate,,TotalBudgetValue_ValueDate
,TotalBudgetValue_Text,,TotalBudgetValue_Text
,TotalBudgetBudgetLine,TotalBudgetBudgetLine,
,TotalBudgetBudgetLine_Ref,,TotalBudgetBudgetLine_Ref
,TotalBudgetBudgetLineValue,TotalBudgetBudgetLineValue,
,TotalBudgetBudgetLineValue_Currency,,TotalBudgetBudgetLineValue_Currency
,TotalBudgetBudgetLineValue_ValueDate,,TotalBudgetBudgetLineValue_ValueDate
,TotalBudgetBudgetLineValue_Text,,TotalBudgetBudgetLineValue_Text
,TotalBudgetBudgetLineNarrative,TotalBudgetBudgetLineNarrative,
,TotalBudgetBudgetLineNarrative_Text,,TotalBudgetBudgetLineNarrative_Text
,TotalBudgetBudgetLineNarrative_Lang,,TotalBudgetBudgetLineNarrative_Lang
,RecipientOrgBudget,RecipientOrgBudget,
,RecipientOrgBudget_Status,,RecipientOrgBudget_Status
,RecipientOrgBudgetRecipientOrg,RecipientOrgBudgetRecipientOrg,
,RecipientOrgBudgetRecipientOrg_Ref,,RecipientOrgBudgetRecipientOrg_Ref
,RecipientOrgBudgetRecipientOrgNarrative,RecipientOrgBudgetRecipientOrgNarrative,
,RecipientOrgBudgetRecipientOrgNarrative_Text,,RecipientOrgBudgetRecipientOrgNarrative_Text
,RecipientOrgBudgetRecipientOrgNarrative_Lang,,RecipientOrgBudgetRecipientOrgNarrative_Lang
,RecipientOrgBudgetPeriodStart,RecipientOrgBudgetPeriodStart,
,RecipientOrgBudgetPeriodStart_IsoDate,,RecipientOrgBudgetPeriodStart_IsoDate
,RecipientOrgBudgetPeriodEnd,RecipientOrgBudgetPeriodEnd,
,RecipientOrgBudgetPeriodEnd_IsoDate,,RecipientOrgBudgetPeriodEnd_IsoDate
,RecipientOrgBudgetValue,RecipientOrgBudgetValue,
,RecipientOrgBudgetValue_Currency,,RecipientOrgBudgetValue_Currency
,RecipientOrgBudgetValue_ValueDate,,RecipientOrgBudgetValue_ValueDate
,RecipientOrgBudgetValue_Text,,RecipientOrgBudgetValue_Text
,RecipientOrgBudgetBudgetLine,RecipientOrgBudgetBudgetLine,
,RecipientOrgBudgetBudgetLine_Ref,,RecipientOrgBudgetBudgetLine_Ref
,RecipientOrgBudgetBudgetLineValue,RecipientOrgBudgetBudgetLineValue,
,RecipientOrgBudgetBudgetLineValue_Currency,,RecipientOrgBudgetBudgetLineValue_Currency
,RecipientOrgBudgetBudgetLineValue_ValueDate,,RecipientOrgBudgetBudgetLineValue_ValueDate
,RecipientOrgBudgetBudgetLineValue_Text,,RecipientOrgBudgetBudgetLineValue_Text
,RecipientOrgBudgetBudgetLineNarrative,RecipientOrgBudgetBudgetLineNarrative,
,RecipientOrgBudgetBudgetLineNarrative_Text,,RecipientOrgBudgetBudgetLineNarrative_Text
,RecipientOrgBudgetBudgetLineNarrative_Lang,,RecipientOrgBudgetBudgetLineNarrative_Lang
,RecipientRegionBudget,RecipientRegionBudget,
,RecipientRegionBudget_Status,,RecipientRegionBudget_Status
,RecipientRegionBudgetRecipientRegion,RecipientRegionBudgetRecipientRegion,
,RecipientRegionBudgetRecipientRegion_Vocabulary,,RecipientRegionBudgetRecipientRegion_Vocabulary
,RecipientRegionBudgetRecipientRegion_VocabularyUri,,RecipientRegionBudgetRecipientRegion_VocabularyUri
,RecipientRegionBudgetRecipientRegion_Code,,RecipientRegionBudgetRecipientRegion_Code
,RecipientRegionBudgetRecipientRegionNarrative,RecipientRegionBudgetRecipientRegionNarrative,
,RecipientRegionBudgetRecipientRegionNarrative_Text,,RecipientRegionBudgetRecipientRegionNarrative_Text
,RecipientRegionBudgetRecipientRegionNarrative_Lang,,RecipientRegionBudgetRecipientRegionNarrative_Lang
,RecipientRegionBudgetPeriodStart,RecipientRegionBudgetPeriodStart,
,RecipientRegionBudgetPeriodStart_IsoDate,,RecipientRegionBudgetPeriodStart_IsoDate
,RecipientRegionBudgetPeriodEnd,RecipientRegionBudgetPeriodEnd,
,RecipientRegionBudgetPeriodEnd_IsoDate,,RecipientRegionBudgetPeriodEnd_IsoDate
,RecipientRegionBudgetValue,RecipientRegionBudgetValue,
,RecipientRegionBudgetValue_Currency,,RecipientRegionBudgetValue_Currency
,RecipientRegionBudgetValue_ValueDate,,RecipientRegionBudgetValue_ValueDate
,RecipientRegionBudgetValue_Text,,RecipientRegionBudgetValue_Text
,RecipientRegionBudgetBudgetLine,RecipientRegionBudgetBudgetLine,
,RecipientRegionBudgetBudgetLine_Ref,,RecipientRegionBudgetBudgetLine_Ref
