,,,,
Section,Item,Type,Codelist,XML
iati-activities,,,,iati-activities
,version,xsd:string,Version,iati-activities/@version
,generated-datetime,xsd:dateTime,,iati-activities/@generated-datetime
,linked-data-default,xsd:anyURI,,iati-activities/@linked-data-default
iati-activity,,,,iati-activities/iati-activity
,last-updated-datetime,xsd:dateTime,,iati-activities/iati-activity/@last-updated-datetime
,xml:lang,,Language,iati-activities/iati-activity/@xml:lang
,default-currency,xsd:string,Currency,iati-activities/iati-activity/@default-currency
,humanitarian,xsd:boolean,,iati-activities/iati-activity/@humanitarian
,hierarchy,xsd:int,,iati-activities/iati-activity/@hierarchy
,linked-data-uri,xsd:anyURI,,iati-activities/iati-activity/@linked-data-uri
,budget-not-provided,xsd:string,Budget Not Provided,iati-activities/iati-activity/@budget-not-provided
iati-identifier,,,,iati-activities/iati-activity/iati-identifier
,,xsd:string,,iati-activities/iati-activity/iati-identifier/text()
reporting-org,,,,iati-activities/iati-activity/reporting-org
,ref,xsd:string,,iati-activities/iati-activity/reporting-org/@ref
,type,xsd:string,Organisation Type,iati-activities/iati-activity/reporting-org/@type
,secondary-reporter,xsd:boolean,,iati-activities/iati-activity/reporting-org/@secondary-reporter
,narrative,,,iati-activities/iati-activity/reporting-org/narrative
,,xsd:string,,iati-activities/iati-activity/reporting-org/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/reporting-org/narrative/@xml:lang
title,,,,iati-activities/iati-activity/title
,narrative,,,iati-activities/iati-activity/title/narrative
,,xsd:string,,iati-activities/iati-activity/title/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/title/narrative/@xml:lang
description,,,,iati-activities/iati-activity/description
,type,xsd:string,Description Type,iati-activities/iati-activity/description/@type
,narrative,,,iati-activities/iati-activity/description/narrative
,,xsd:string,,iati-activities/iati-activity/description/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/description/narrative/@xml:lang
participating-org,,,,iati-activities/iati-activity/participating-org
,ref,xsd:string,,iati-activities/iati-activity/participating-org/@ref
,type,xsd:string,Organisation Type,iati-activities/iati-activity/participating-org/@type
,role,xsd:string,Organisation Role,iati-activities/iati-activity/participating-org/@role
,activity-id,xsd:string,,iati-activities/iati-activity/participating-org/@activity-id
,crs-channel-code,xsd:string,CRS Channel Code,iati-activities/iati-activity/participating-org/@crs-channel-code
,narrative,,,iati-activities/iati-activity/participating-org/narrative
,,xsd:string,,iati-activities/iati-activity/participating-org/narrative/text()
,xml:lang,,Language,iati-activities/iati-activity/participating-org/narrative/@xml:lang
other-identifier,,,,iati-activities/iati-activity/other-identifier
,ref,xsd:string,,iati-activities/iati-activity/other-identifier/@ref
,type,xsd:string,Other Identifier Type,iati-activities/iati-activity/other-identifier/@type
,owner-org,,,iati-activities/iati-activity/other-identifier/owner-org
